Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,9506.898438,9557.694336,9423.669922,9526.778320,9526.778320,24894485785
2019-12-13,9528.788086,9605.036133,9517.542969,9573.592773,9573.592773,22553225491
2019-12-14,9572.563477,9625.152344,9346.456055,9382.625977,9382.625977,22568097192
2019-12-15,9382.053711,9467.465820,9129.035156,9429.530273,9429.530273,22255929604
2019-12-16,9431.325195,9439.911133,9087.800781,9125.708984,9125.708984,26608136898
2019-12-17,9124.175781,9164.478516,8669.543945,8738.685547,8738.685547,29429983617
2019-12-18,8748.138672,9606.629883,8577.196289,9543.439453,9543.439453,41753217585
2019-12-19,9544.473633,9642.047852,9241.461914,9453.373047,9453.373047,33998498066
2019-12-20,9460.975586,9542.715820,9316.835938,9491.299805,9491.299805,29758940199
2019-12-21,9493.636719,9496.772461,9351.504883,9454.611328,9454.611328,25391274526
2019-12-22,9454.651367,9883.506836,9422.260742,9875.035156,9875.035156,30413588979
2019-12-23,9871.503906,10066.263672,9632.404297,9671.106445,9671.106445,36592956599
2019-12-24,9669.482422,9923.408203,9572.878906,9642.676758,9642.676758,30276517570
2019-12-25,9646.921875,9680.292969,9501.307617,9572.577148,9572.577148,28367781280
2019-12-26,9572.108398,9687.342773,9440.952148,9491.538086,9491.538086,29877712308
2019-12-27,9490.455078,9632.527344,9405.440430,9536.456055,9536.456055,29795977013
2019-12-28,9535.073242,9680.535156,9533.822266,9574.492188,9574.492188,27953778304
2019-12-29,9574.043945,9824.224609,9518.168945,9704.858398,9704.858398,29346388861
2019-12-30,9701.747070,9737.349609,9504.175781,9525.971680,9525.971680,29877756181
2019-12-31,9527.857422,9540.644531,9325.371094,9356.354492,9356.354492,27532089111
2020-01-01,9358.036133,9416.838867,9313.788086,9346.539063,9346.539063,24100071167
2020-01-02,9349.624023,9364.586914,9005.066406,9070.249023,9070.249023,27010361265
2020-01-03,9068.896484,9639.682617,8991.223633,9550.185547,9550.185547,36551953212
2020-01-04,9550.824219,9657.458008,9504.195313,9635.706055,9635.706055,23982163725
2020-01-05,9635.439453,9800.376953,9613.370117,9627.375000,9627.375000,25623068500
2020-01-06,9626.251953,10088.521484,9605.511719,10072.124023,10072.124023,30175671404
2020-01-07,10071.427734,10634.641602,10101.507813,10615.754883,10615.754883,37407892485
2020-01-08,10613.470703,10947.095703,10373.500977,10533.975586,10533.975586,41292529035
